"CCLE_ID","depMapID","Name","Pathology","Site_Primary","Histology","Gender","Age","Site_Of_Finding","tcga_code"
"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000157","A4/Fuk","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","52","","DLBC"
"KALS1_CENTRAL_NERVOUS_SYSTEM","ACH-000231","KALS-1","primary","central_nervous_system","glioma","female","missing info","","LGG"
"HEC108_ENDOMETRIUM","ACH-000990","HEC-108","primary","endometrium","carcinoma","female","missing info","","UCEC"
"HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000005","HEL 92.1.7","primary","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","male","30","","LAML"
"HUH28_BILIARY_TRACT","ACH-000808","HuH28","primary","biliary_tract","carcinoma","","missing info","","missing info"
"HEC265_ENDOMETRIUM","ACH-000946","HEC-265","primary","endometrium","carcinoma","female","missing info","","UCEC"
"CAL12T_LUNG","ACH-000826","CAL-12T","primary","lung","carcinoma","male","missing info","","UNABLE TO CLASSIFY"
"THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000146","THP-1","primary","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","male","1","","LAML"
"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000697","A3/KAW","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","missing info","","DLBC"
"SKNSH_AUTONOMIC_GANGLIA","ACH-000149","SK-N-SH","metastasis","autonomic_ganglia","neuroblastoma","female","4","bone_marrow","NB"
"HCC1954_BREAST","ACH-000859","HCC1954","primary","breast","carcinoma","female","61","","BRCA"
"CAMA1_BREAST","ACH-000783","CAMA-1","metastasis","breast","carcinoma","female","51","pleura","BRCA"
"HEC6_ENDOMETRIUM","ACH-000984","HEC-6","primary","endometrium","carcinoma","female","missing info","","UCEC"
"AM38_CENTRAL_NERVOUS_SYSTEM","ACH-000269","AM-38","primary","central_nervous_system","glioma","male","36","","GBM"
"HEC50B_ENDOMETRIUM","ACH-000831","HEC-50B","primary","endometrium","carcinoma","female","missing info","","UCEC"
"HSC3_UPPER_AERODIGESTIVE_TRACT","ACH-000778","HSC-3","metastasis","upper_aerodigestive_tract","carcinoma","male","64","","HNSC"
"HSC4_UPPER_AERODIGESTIVE_TRACT","ACH-000546","HSC-4","primary","upper_aerodigestive_tract","carcinoma","male","64","","HNSC"
"KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000714","KMS-11","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","67","","MM"
"KP4_PANCREAS","ACH-000265","KP4","metastasis","pancreas","carcinoma","male","50","ascites","PAAD"
"KE39_STOMACH","ACH-000507","KE-39","metastasis","stomach","carcinoma","male","77","lymph_node","STAD"
"KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000167","KE-97","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","52","peritoneum","MM"
"VMRCRCW_KIDNEY","ACH-000484","VMRC-RCW","primary","kidney","carcinoma","male","missing info","","KIRC"
"HGC27_STOMACH","ACH-000847","HGC-27","metastasis","stomach","carcinoma","","missing info","lymph_node","STAD"
"LUDLU1_LUNG","ACH-000390","LUDLU-1","primary","lung","carcinoma","male","72","","LUSC"
"HUG1N_STOMACH","ACH-000239","HuG1-N","primary","stomach","carcinoma","male","55","","STAD"
"U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000626","U266B1","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","53","","MM"
"NUGC4_STOMACH","ACH-000674","NUGC-4","metastasis","stomach","carcinoma","female","35","lymph_node","STAD"
"HMC18_BREAST","ACH-000721","HMC-1-8","metastasis","breast","carcinoma","female","35","","BRCA"
"CAS1_CENTRAL_NERVOUS_SYSTEM","ACH-000464","CAS-1","primary","central_nervous_system","glioma","male","63","","GBM"
"KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000889","KMM-1","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","62","","MM"
"CORL23_LUNG","ACH-000662","COR-L23","metastasis","lung","carcinoma","male","62","","missing info"
"MORCPR_LUNG","ACH-000851","MOR/CPR","primary","lung","carcinoma","","missing info","","LUAD"
"HARA_LUNG","ACH-000843","HARA","metastasis","lung","carcinoma","male","57","","LUSC"
"SKOV3_OVARY","ACH-000811","SK-OV-3","metastasis","ovary","carcinoma","female","64","ascites","OV"
"HPAFII_PANCREAS","ACH-000094","HPAF-II","metastasis","pancreas","carcinoma","male","44","ascites","PAAD"
"MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000583","MC116","metastasis","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","missing info","pleura","DLBC"
"NCIH1568_LUNG","ACH-000869","NCI-H1568","metastasis","lung","carcinoma","female","48","lymph_node","LUAD"
"CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000440","CA46","metastasis","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","missing info","ascites","DLBC"
"A498_KIDNEY","ACH-000555","A-498","primary","kidney","carcinoma","male","52","","KIRC"
"BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000923","BCP-1","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","92","","DLBC"
"A673_BONE","ACH-000052","A-673","primary","bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","female","15","","SARC"
"AU565_BREAST","ACH-000248","AU565","metastasis","breast","carcinoma","female","43","pleura","BRCA"
"COLO201_LARGE_INTESTINE","ACH-000253","COLO 201","metastasis","large_intestine","carcinoma","male","70","ascites","COAD/READ"
"CAPAN1_PANCREAS","ACH-000354","Capan-1","metastasis","pancreas","carcinoma","male","40","liver","PAAD"
"NCIH1563_LUNG","ACH-000892","NCI-H1563","primary","lung","carcinoma","male","missing info","","LUAD"
"NCIH358_LUNG","ACH-000860","NCI-H358","primary","lung","carcinoma","male","missing info","","LUAD"
"CFPAC1_PANCREAS","ACH-000138","CFPAC-1","metastasis","pancreas","carcinoma","male","26","liver","PAAD"
"NIHOVCAR3_OVARY","ACH-000001","NIH:OVCAR-3","metastasis","ovary","carcinoma","female","60","ascites","OV"
"NCIH1650_LUNG","ACH-000035","NCI-H1650","metastasis","lung","carcinoma","male","27","pleura","LUAD"
"NCIH1793_LUNG","ACH-000888","NCI-H1793","primary","lung","carcinoma","female","52","","LUAD"
"NCIH1437_LUNG","ACH-000589","NCI-H1437","metastasis","lung","carcinoma","male","6","pleura","LUAD"
"KNS62_LUNG","ACH-000858","KNS-62","metastasis","lung","carcinoma","male","49","","LUSC"
"HS578T_BREAST","ACH-000148","Hs 578T","primary","breast","carcinoma","female","74","","BRCA"
"BT20_BREAST","ACH-000536","BT-20","primary","breast","carcinoma","female","74","","BRCA"
"SNU182_LIVER","ACH-000483","SNU-182","primary","liver","carcinoma","male","24","","LIHC"
"SKNMC_BONE","ACH-000039","SK-N-MC","metastasis","bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","female","14","supra_orbital_area","SARC"
"HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000061","HH","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","61","","ALL"
"FADU_UPPER_AERODIGESTIVE_TRACT","ACH-000846","FaDu","primary","upper_aerodigestive_tract","carcinoma","male","56","","HNSC"
"MDAMB361_BREAST","ACH-000934","MDA-MB-361","metastasis","breast","carcinoma","female","40","central_nervous_system","BRCA"
"MDAMB436_BREAST","ACH-000573","MDA-MB-436","metastasis","breast","carcinoma","female","43","pleura","BRCA"
"PANC0213_PANCREAS","ACH-000031","Panc 02.13","primary","pancreas","carcinoma","female","64","","PAAD"
"DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000334","DB","metastasis","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","45","ascites","DLBC"
"RDES_BONE","ACH-000041","RD-ES","primary","bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","male","19","","SARC"
"CAL27_UPPER_AERODIGESTIVE_TRACT","ACH-000832","CAL 27","primary","upper_aerodigestive_tract","carcinoma","male","56","","HNSC"
"MESSA_SOFT_TISSUE","ACH-000449","MES-SA","primary","soft_tissue","sarcoma","female","56","","SARC"
"SW1271_LUNG","ACH-000890","SW 1271","primary","lung","carcinoma","male","69","","SCLC"
"NCIH1792_LUNG","ACH-000496","NCI-H1792","metastasis","lung","carcinoma","male","50","pleura","LUAD"
"GCT_SOFT_TISSUE","ACH-000835","GCT","metastasis","soft_tissue","malignant_fibrous_histiocytoma-pleomorphic_sarcoma","male","29","lung","SARC"
"SKBR3_BREAST","ACH-000017","SK-BR-3","metastasis","breast","carcinoma","female","43","pleura","BRCA"
"SNU16_STOMACH","ACH-000581","SNU-16","metastasis","stomach","carcinoma","female","33","ascites","STAD"
"NCIH82_LUNG","ACH-000355","NCI-H82","metastasis","lung","carcinoma","male","41","pleura","SCLC"
"NCIN87_STOMACH","ACH-000427","NCI-N87","metastasis","stomach","carcinoma","male","missing info","liver","STAD"
"U2OS_BONE","ACH-000364","U-2 OS","primary","bone","osteosarcoma","female","15","","SARC"
"H4_CENTRAL_NERVOUS_SYSTEM","ACH-000389","H4","primary","central_nervous_system","glioma","male","37","","LGG"
"GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000081","GDM-1","primary","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","female","66","","LAML"
"HCC1143_BREAST","ACH-000374","HCC1143","primary","breast","carcinoma","female","52","","BRCA"
"T24_URINARY_TRACT","ACH-000018","T24","primary","urinary_tract","carcinoma","female","81","","BLCA"
"G401_SOFT_TISSUE","ACH-000096","G-401","primary","soft_tissue","rhabdoid_tumour","male","0.25","","SARC"
"HCC1937_BREAST","ACH-000223","HCC1937","primary","breast","carcinoma","female","24","","BRCA"
"HCC1569_BREAST","ACH-000930","HCC1569","primary","breast","carcinoma","female","70","","BRCA"
"OCUM1_STOMACH","ACH-000247","OCUM-1","primary","stomach","carcinoma","female","38","","STAD"
"SAOS2_BONE","ACH-000410","Saos-2","primary","bone","osteosarcoma","female","11","","SARC"
"D283MED_CENTRAL_NERVOUS_SYSTEM","ACH-000055","D283 Med","metastasis","central_nervous_system","primitive_neuroectodermal_tumour-medulloblastoma","male","6","peritoneum","MB"
"SCC9_UPPER_AERODIGESTIVE_TRACT","ACH-000181","SCC-9","primary","upper_aerodigestive_tract","carcinoma","male","25","","HNSC"
"HCC1395_BREAST","ACH-000699","HCC1395","primary","breast","carcinoma","female","43","","BRCA"
"NMCG1_CENTRAL_NERVOUS_SYSTEM","ACH-000200","NMC-G1","primary","central_nervous_system","glioma","","missing info","","LGG"
"TEN_ENDOMETRIUM","ACH-000397","TEN","primary","endometrium","carcinoma","female","74","","UCEC"
"TE9_OESOPHAGUS","ACH-000694","TE-9","primary","oesophagus","carcinoma","male","missing info","","ESCA"
"KNS42_CENTRAL_NERVOUS_SYSTEM","ACH-000622","KNS-42","primary","central_nervous_system","glioma","male","16","","LGG"
"KYSE520_OESOPHAGUS","ACH-000637","KYSE-520","primary","oesophagus","carcinoma","female","58","","ESCA"
"KYSE270_OESOPHAGUS","ACH-000873","KYSE-270","primary","oesophagus","carcinoma","male","79","","ESCA"
"JHUEM1_ENDOMETRIUM","ACH-000928","JHUEM-1","primary","endometrium","carcinoma","female","56","","UCEC"
"YH13_CENTRAL_NERVOUS_SYSTEM","ACH-000469","YH-13","primary","central_nervous_system","glioma","male","40","","GBM"
"IALM_LUNG","ACH-000672","IA-LM","metastasis","lung","carcinoma","male","68","skin","missing info"
"NCIH2052_PLEURA","ACH-000153","NCI-H2052","metastasis","pleura","mesothelioma","male","65","pleura","MESO"
"SKNFI_AUTONOMIC_GANGLIA","ACH-000341","SK-N-FI","metastasis","autonomic_ganglia","neuroblastoma","male","11","bone_marrow","NB"
"SKNAS_AUTONOMIC_GANGLIA","ACH-000260","SK-N-AS","primary","autonomic_ganglia","neuroblastoma","female","6","","NB"
"GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000162","GA-10","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","41","","DLBC"
"SNU398_LIVER","ACH-000221","SNU-398","primary","liver","carcinoma","male","42","","LIHC"
"SNU423_LIVER","ACH-000493","SNU-423","primary","liver","carcinoma","male","40","","LIHC"
"SCC4_UPPER_AERODIGESTIVE_TRACT","ACH-000238","SCC-4","primary","upper_aerodigestive_tract","carcinoma","male","55","","HNSC"
"EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000877","EB1","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","9","","DLBC"
"HCC1187_BREAST","ACH-000111","HCC1187","primary","breast","carcinoma","female","41","","BRCA"
"SNU387_LIVER","ACH-000478","SNU-387","primary","liver","carcinoma","female","41","","LIHC"
"DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000786","Daudi","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","16","","DLBC"
"HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000914","HT","metastasis","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","70","pleura","DLBC"
"MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000077","MJ","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","50","","missing info"
"JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000151","JM1","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","","missing info","","DLBC"
"C2BBE1_LARGE_INTESTINE","ACH-000009","C2BBe1","primary","large_intestine","carcinoma","male","72","","COAD/READ"
"SKES1_BONE","ACH-000087","SK-ES-1","primary","bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","male","18","","SARC"
"EPLC272H_LUNG","ACH-000585","EPLC-272H","primary","lung","carcinoma","male","57","","LUSC"
"BXPC3_PANCREAS","ACH-000535","BxPC-3","primary","pancreas","carcinoma","female","61","","PAAD"
"NCIH1355_LUNG","ACH-000666","NCI-H1355","metastasis","lung","carcinoma","male","53","pleura","LUAD"
"SNU5_STOMACH","ACH-000303","SNU-5","metastasis","stomach","carcinoma","female","33","ascites","STAD"
"SNU475_LIVER","ACH-000422","SNU-475","primary","liver","carcinoma","male","43","","LIHC"
"HEC251_ENDOMETRIUM","ACH-000996","HEC-251","primary","endometrium","carcinoma","female","missing info","","UCEC"
"HCC95_LUNG","ACH-000454","HCC-95","primary","lung","carcinoma","male","65","","LUSC"
"HCC1438_LUNG","ACH-000891","HCC-1438","primary","lung","carcinoma","male","43","","missing info"
"RPMI7951_SKIN","ACH-000348","RPMI-7951","metastasis","skin","malignant_melanoma","female","18","lymph_node","SKCM"
"SNU1066_UPPER_AERODIGESTIVE_TRACT","ACH-000682","SNU-1066","primary","upper_aerodigestive_tract","carcinoma","male","62","","HNSC"
"SNU1041_UPPER_AERODIGESTIVE_TRACT","ACH-000618","SNU-1041","primary","upper_aerodigestive_tract","carcinoma","","missing info","","HNSC"
"HCC2108_LUNG","ACH-000314","HCC-2108","primary","lung","carcinoma","male","59","","LUAD"
"COLO783_SKIN","ACH-000812","COLO-783","metastasis","skin","malignant_melanoma","female","48","lymph_node","SKCM"
"HCC1359_LUNG","ACH-000901","HCC-1359","primary","lung","carcinoma","female","55","","missing info"
"BICR31_UPPER_AERODIGESTIVE_TRACT","ACH-000228","BICR 31","primary","upper_aerodigestive_tract","carcinoma","male","missing info","","HNSC"
"COV362_OVARY","ACH-000278","COV362","primary","ovary","carcinoma","female","missing info","","OV"
"COLO792_SKIN","ACH-000968","COLO 792","metastasis","skin","malignant_melanoma","male","62","brain","SKCM"
"COV434_OVARY","ACH-000123","COV434","primary","ovary","sex_cord-stromal_tumour","female","missing info","","OV"
"WM983B_SKIN","ACH-000765","WM-983B","primary","skin","malignant_melanoma","","missing info","","SKCM"
"HS751T_FIBROBLAST","ACH-000165","Hs 751.T","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","","missing info","","missing info"
"LS513_LARGE_INTESTINE","ACH-000007","LS513","primary","large_intestine","carcinoma","male","63","","COAD/READ"
"NCIH2110_LUNG","ACH-000929","NCI-H2110","metastasis","lung","carcinoma","","missing info","pleura","UNABLE TO CLASSIFY"
"CHAGOK1_LUNG","ACH-000867","ChaGo-K-1","primary","lung","carcinoma","male","45","","UNABLE TO CLASSIFY"
"DMS454_LUNG","ACH-000844","DMS 454","primary","lung","carcinoma","male","missing info","","SCLC"
"CORL47_LUNG","ACH-000695","COR-L47","primary","lung","carcinoma","male","67","","SCLC"
"FTC238_THYROID","ACH-000897","FTC-238","metastasis","thyroid","carcinoma","male","42","","THCA"
"DMS273_LUNG","ACH-000749","DMS 273","metastasis","lung","carcinoma","female","50","pleura","SCLC"
"FTC133_THYROID","ACH-000903","FTC-133","metastasis","thyroid","carcinoma","male","42","lymph_node","THCA"
"CORL311_LUNG","ACH-000187","COR-L311","primary","lung","carcinoma","male","63","","SCLC"
"NCIH2286_LUNG","ACH-000912","NCI-H2286","primary","lung","carcinoma","female","57","","SCLC"
"NCIH1339_LUNG","ACH-000921","NCI-H1339","metastasis","lung","carcinoma","female","49","pleura","SCLC"
"WM793_SKIN","ACH-000827","WM-793","primary","skin","malignant_melanoma","","missing info","","SKCM"
"A704_KIDNEY","ACH-000429","A-704","primary","kidney","carcinoma","male","78","","KIRC"
"MDAMB435S_SKIN","ACH-000884","MDA-MB-435S","primary","skin","malignant_melanoma","female","31","","SKCM"
"WM1799_SKIN","ACH-000661","WM1799","primary","skin","malignant_melanoma","","missing info","","SKCM"
"MEWO_SKIN","ACH-000987","MeWo","metastasis","skin","malignant_melanoma","male","78","lymph_node","SKCM"
"WM88_SKIN","ACH-000899","WM-88","primary","skin","malignant_melanoma","","missing info","","SKCM"
"NCIH2081_LUNG","ACH-000394","NCI-H2081","metastasis","lung","carcinoma","female","59","pleura","SCLC"
"HS255T_FIBROBLAST","ACH-000199","Hs 255.T","primary","large_intestine","carcinoma","female","46","","missing info"
"NCIH1092_LUNG","ACH-000514","NCI-H1092","metastasis","lung","carcinoma","male","67","bone_marrow","SCLC"
"SW837_LARGE_INTESTINE","ACH-000421","SW837","primary","large_intestine","carcinoma","male","53","","COAD/READ"
"JHH6_LIVER","ACH-000217","JHH-6","primary","liver","carcinoma","female","57","","LIHC"
"IGR1_SKIN","ACH-000882","IGR-1","metastasis","skin","malignant_melanoma","male","42","lymph_node","SKCM"
"NCIH1105_LUNG","ACH-000780","NCI-H1105","metastasis","lung","carcinoma","male","73","lymph_node","SCLC"
"NCIH1436_LUNG","ACH-000830","NCI-H1436","metastasis","lung","carcinoma","male","39","lymph_node","SCLC"
"NCIH1876_LUNG","ACH-000586","NCI-H1876","metastasis","lung","carcinoma","male","59","lymph_node","SCLC"
"CORL24_LUNG","ACH-000382","COR-L24","primary","lung","carcinoma","male","71","","SCLC"
"COV644_OVARY","ACH-000608","COV644","primary","ovary","carcinoma","female","missing info","","OV"
"GP2D_LARGE_INTESTINE","ACH-000982","GP2d","primary","large_intestine","carcinoma","female","71","","COAD/READ"
"PECAPJ15_UPPER_AERODIGESTIVE_TRACT","ACH-000619","PE/CA-PJ15","primary","upper_aerodigestive_tract","carcinoma","male","45","","HNSC"
"CORL88_LUNG","ACH-000508","COR-L88","primary","lung","carcinoma","male","55","","SCLC"
"CORL95_LUNG","ACH-000743","COR-L95","primary","lung","carcinoma","male","64","","SCLC"
"PECAPJ49_UPPER_AERODIGESTIVE_TRACT","ACH-000735","PE/CA-PJ49","primary","upper_aerodigestive_tract","carcinoma","male","57","","HNSC"
"PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT","ACH-000606","PE/CA-PJ34 (clone C12)","primary","upper_aerodigestive_tract","carcinoma","male","60","","HNSC"
"PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT","ACH-000732","PE/CA-PJ41 (clone D2)","primary","upper_aerodigestive_tract","carcinoma","female","67","","HNSC"
"OV7_OVARY","ACH-000688","OV7","primary","ovary","carcinoma","female","78","","OV"
"HT55_LARGE_INTESTINE","ACH-000926","HT55","primary","large_intestine","carcinoma","","missing info","","COAD/READ"
"OAW42_OVARY","ACH-000704","OAW42","metastasis","ovary","carcinoma","female","missing info","ascites","OV"
"MDST8_LARGE_INTESTINE","ACH-000935","MDST8","primary","large_intestine","carcinoma","","missing info","","COAD/READ"
"OAW28_OVARY","ACH-000116","OAW28","primary","ovary","carcinoma","female","missing info","","OV"
"SUIT2_PANCREAS","ACH-000652","SUIT-2","metastasis","pancreas","carcinoma","male","73","liver","PAAD"
"KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000263","KASUMI-1","primary","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","male","7","","LAML"
"SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000226","SUP-M2","metastasis","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","5","cerebrospinal_fluid","missing info"
"SKHEP1_LIVER","ACH-000361","SK-HEP-1","metastasis","liver","carcinoma","male","52","ascites","LIHC"
"OVCAR8_OVARY","ACH-000696","OVCAR-8","primary","ovary","carcinoma","female","64","","OV"
"NCIH2172_LUNG","ACH-000924","NCI-H2172","primary","lung","carcinoma","female","missing info","","UNABLE TO CLASSIFY"
"ISHIKAWAHERAKLIO02ER_ENDOMETRIUM","ACH-000961","Ishikawa (Heraklio) 02 ER-","primary","endometrium","carcinoma","female","39","","UCEC"
"NCIH596_LUNG","ACH-000628","NCI-H596","primary","lung","carcinoma","male","73","","LUAD"
"NCIH650_LUNG","ACH-000945","NCI-H650","metastasis","lung","carcinoma","male","missing info","lymph_node","LUAD"
"SW1573_LUNG","ACH-000677","SW 1573","primary","lung","carcinoma","female","44","","LUAD"
"OVMANA_OVARY","ACH-000646","OVMANA","primary","ovary","carcinoma","female","51","","OV"
"SKCO1_LARGE_INTESTINE","ACH-000400","SK-CO-1","primary","large_intestine","carcinoma","male","65","","COAD/READ"
"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000053","KARPAS-299","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","25","","missing info"
"YAPC_PANCREAS","ACH-000332","YAPC","metastasis","pancreas","carcinoma","male","43","ascites","PAAD"
"HT1197_URINARY_TRACT","ACH-000547","HT-1197","primary","urinary_tract","carcinoma","male","44","","BLCA"
"A253_SALIVARY_GLAND","ACH-000740","A-253","primary","salivary_gland","carcinoma","male","54","","HNSC"
"HCC366_LUNG","ACH-000840","HCC-366","primary","lung","carcinoma","female","80","","LUAD"
"DKMG_CENTRAL_NERVOUS_SYSTEM","ACH-000244","DK-MG","primary","central_nervous_system","glioma","female","67","","GBM"
"SNU349_KIDNEY","ACH-000907","SNU-349","primary","kidney","carcinoma","male","68","","KIRC"
"UMUC1_URINARY_TRACT","ACH-000834","UM-UC-1","primary","urinary_tract","carcinoma","male","missing info","","BLCA"
"NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000944","NAMALWA","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","3","","DLBC"
"NCIH292_LUNG","ACH-001075","NCI-H292","metastasis","lung","carcinoma","female","32","lymph_node","missing info"
"U118MG_CENTRAL_NERVOUS_SYSTEM","ACH-000040","U-118 MG","primary","central_nervous_system","glioma","","missing info","","GBM"
"HCC1833_LUNG","ACH-000712","HCC-1833","primary","lung","carcinoma","female","69","","LUAD"
"RH30_SOFT_TISSUE","ACH-000833","RH-30","metastasis","soft_tissue","rhabdomyosarcoma","male","17","bone_marrow","SARC"
"TCCSUP_URINARY_TRACT","ACH-000720","TCCSUP","primary","urinary_tract","carcinoma","female","67","","BLCA"
"SNU601_STOMACH","ACH-000736","SNU-601","metastasis","stomach","carcinoma","male","34","ascites","STAD"
"CAL33_UPPER_AERODIGESTIVE_TRACT","ACH-000518","CAL-33","primary","upper_aerodigestive_tract","carcinoma","male","69","","HNSC"
"SNU668_STOMACH","ACH-000344","SNU-668","metastasis","stomach","carcinoma","male","63","ascites","STAD"
"CORL279_LUNG","ACH-000257","COR-L279","metastasis","lung","carcinoma","male","63","lymph_node","SCLC"
"GB1_CENTRAL_NERVOUS_SYSTEM","ACH-000738","GB-1","primary","central_nervous_system","glioma","male","35","","GBM"
"KURAMOCHI_OVARY","ACH-000524","KURAMOCHI","metastasis","ovary","carcinoma","female","missing info","","UNABLE TO CLASSIFY"
"COLO684_ENDOMETRIUM","ACH-000864","COLO 684","primary","endometrium","carcinoma","female","63","","UCEC"
"SNU685_ENDOMETRIUM","ACH-000407","SNU-685","primary","endometrium","carcinoma","female","70","","UCEC"
"SNU886_LIVER","ACH-000316","SNU-886","primary","liver","carcinoma","male","57","","LIHC"
"NCCSTCK140_STOMACH","ACH-000110","NCC-StC-K140","primary","stomach","carcinoma","female","36","","STAD"
"NCIH3255_LUNG","ACH-000109","NCI-H3255","primary","lung","carcinoma","","missing info","","LUAD"
"SNU719_STOMACH","ACH-000898","SNU-719","primary","stomach","carcinoma","male","53","","STAD"
"SNU489_CENTRAL_NERVOUS_SYSTEM","ACH-000543","SNU-489","primary","central_nervous_system","glioma","male","54","","GBM"
"SNU81_LARGE_INTESTINE","ACH-000991","SNU-81","primary","large_intestine","carcinoma","male","53","","COAD/READ"
"A2058_SKIN","ACH-000788","A2058","metastasis","skin","malignant_melanoma","male","43","lymph_node","SKCM"
"SNU1040_LARGE_INTESTINE","ACH-000999","SNU-1040","primary","large_intestine","carcinoma","male","34","","COAD/READ"
"SNU1076_UPPER_AERODIGESTIVE_TRACT","ACH-000549","SNU-1076","primary","upper_aerodigestive_tract","carcinoma","male","60","","HNSC"
"SNU175_LARGE_INTESTINE","ACH-000989","SNU-175","primary","large_intestine","carcinoma","female","56","","COAD/READ"
"SNU407_LARGE_INTESTINE","ACH-000955","SNU-407","metastasis","large_intestine","carcinoma","male","37","","COAD/READ"
"SNU201_CENTRAL_NERVOUS_SYSTEM","ACH-000623","SNU-201","primary","central_nervous_system","glioma","male","58","","GBM"
"KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000426","KMS-20","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","female","65","","MM"
"SNU216_STOMACH","ACH-000466","SNU-216","metastasis","stomach","carcinoma","female","46","lymph_node","STAD"
"SNU1196_BILIARY_TRACT","ACH-000461","SNU-1196","primary","biliary_tract","carcinoma","","missing info","","missing info"
"SNU1079_BILIARY_TRACT","ACH-000209","SNU-1079","primary","biliary_tract","carcinoma","","missing info","","missing info"
"HCC1195_LUNG","ACH-000868","HCC-1195","primary","lung","carcinoma","male","47","","LUAD"
"NCIH854_LUNG","ACH-000710","NCI-H854","primary","lung","carcinoma","","missing info","","LUAD"
"SNU466_CENTRAL_NERVOUS_SYSTEM","ACH-000289","SNU-466","primary","central_nervous_system","glioma","male","61","","GBM"
"YD38_UPPER_AERODIGESTIVE_TRACT","ACH-000762","YD-38","primary","upper_aerodigestive_tract","carcinoma","male","67","","HNSC"
"SNU1105_CENTRAL_NERVOUS_SYSTEM","ACH-000368","SNU-1105","primary","central_nervous_system","glioma","male","61","","GBM"
"SNU283_LARGE_INTESTINE","ACH-000708","SNU-283","primary","large_intestine","carcinoma","female","62","","COAD/READ"
